Pool;Event (EN);Event (RU);Men;Women;Rank;Is_Mixed;Period
LCM;400m Freestyle;Вольный стиль 400 м;4:02.00;4:26.00;МС;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;4:14.50;4:41.00;КМС;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;4:31.00;4:59.00;I;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;5:06.00;5:40.00;II;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;5:47.00;6:24.00;III;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;6:43.00;7:35.00;Iю;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;7:39.00;8:46.00;IIю;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;8:35.00;9:57.00;IIIю;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;4:06.68;4:35.03;МСМК;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;4:28.00;4:58.00;МС;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;4:43.00;5:15.50;КМС;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;5:02.00;5:37.00;I;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;5:43.00;6:21.00;II;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;6:31.00;7:14.00;III;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;7:26.00;8:15.00;Iю;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;8:22.00;9:26.00;IIю;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;9:18.00;10:37.00;IIIю;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;4:13.76;4:40.80;МСМК;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;4:34.00;5:03.00;МС;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;4:48.00;5:20.50;КМС;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;5:07.00;5:42.00;I;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;5:48.00;6:27.00;II;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;6:37.00;7:20.00;III;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;7:32.00;8:21.00;Iю;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;8:28.00;9:32.00;IIю;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;9:24.00;10:43.00;IIIю;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;46.72;52.68;МСМК;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;50.00;56.00;МС;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;53.30;1:00.00;КМС;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;56.70;1:03.84;I;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:03.10;1:11.40;II;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:10.60;1:19.10;III;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:23.10;1:33.10;Iю;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:43.10;1:53.10;IIю;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;2:03.10;2:12.10;IIIю;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;48.25;53.99;МСМК;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;51.50;57.50;МС;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;54.90;1:01.50;КМС;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;58.30;1:05.34;I;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:04.60;1:12.90;II;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:12.10;1:20.60;III;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:24.60;1:34.60;Iю;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:44.60;1:54.60;IIю;False;26.11.2024 – 31.12.9999
